id,tags,created,updated,name,description,version,first_contacted,target_start,target_end,reason,active,tracker,test_strategy,threat_model,api_test,pen_test,check_list,status,progress,tmodel_path,done_testing,engagement_type,build_id,commit_hash,branch_tag,source_code_management_uri,deduplication_on_engagement,lead,requester,preset,report_type,product,build_server,source_code_management_server,orchestration_engine,notes,files,risk_acceptance
1,[],2026-02-11T13:18:44.032733Z,2026-02-22T19:44:55.651529Z,Scan #1,,,,2026-02-11,2026-02-22,,True,,,False,False,False,False,In Progress,other,none,False,CI/CD,,,,,False,1.0,,,,2,,,,[],[],[]
2,[],2026-02-17T13:27:33.172962Z,2026-02-17T13:27:33.172977Z,Pipeline DevSecOps,,,,2026-02-17,2026-02-24,,True,,,False,False,False,False,In Progress,other,none,False,CI/CD,,,,,False,1.0,,,,4,,,,[],[],[]
3,[],2026-02-24T00:09:22.193862Z,2026-02-24T00:09:22.193884Z,main — 2026-Q1 (test rapide),,,,2026-01-01,2026-03-31,,True,,,True,True,True,True,In Progress,threat_model,none,False,CI/CD,,,,,False,,,,,4,,,,[],[],[]
4,"['Q1', 'automated', 'github-actions', 'main', 'quarterly']",2026-02-24T01:23:36.373098Z,2026-02-24T02:23:52.887371Z,main - 2026-Q1,Scans CI/CD | Branche: main | Periode: 2026-01-01 -> 2026-03-31,,,2026-01-01,2026-03-31,,True,,,True,True,True,True,In Progress,threat_model,none,False,CI/CD,,,main,,False,,,,,4,,,,[],[],[]
5,"['automated', 'github-actions', 'main']",2026-02-24T09:46:13.588686Z,2026-02-26T04:19:16.384337Z,main - 2026-Q1,Scans CI/CD | Branche: main | Periode: 2026-01-01 -> 2026-03-31,,,2026-01-01,2026-03-31,,True,,,True,True,True,True,In Progress,threat_model,none,False,CI/CD,22426750066,5f2e4d822803d045c0c1427b2d4bb6e519bf029e,main,,False,,,,,5,,,,[],[],[]
6,[],2026-04-07T12:32:27.300639Z,2026-04-07T12:32:27.397981Z,"AdHoc Import - Tue, 07 Apr 2026 12:32:27",,,,2026-04-07,2026-04-07,,True,,,False,False,False,False,In Progress,threat_model,none,False,Interactive,,,,,False,,,,,4,,,,[],[],[]
7,"['automated', 'semgrep', 'test-dataset']",2026-04-22T14:12:43.991250Z,2026-04-22T15:01:39.053406Z,Audit de Sécurité - Dataset Semgrep,Importation du dataset 'many_findings' pour tester la visualisation des vulnérabilités et la gestion des faux positifs.,,,2026-04-22,2026-04-29,,True,,,False,False,False,False,In Progress,other,none,False,Interactive,,,,,False,1.0,,,,1,,,,[],[],[]
8,[],2026-04-22T14:20:18.051997Z,2026-04-22T14:45:42.518474Z,Benchmark : Dataset Python Semgrep,,,,2026-04-22,2026-04-22,,True,,,False,False,False,False,In Progress,threat_model,none,False,Interactive,,,,,False,1.0,,,,1,,,,[],[],[]
9,[],2026-04-22T14:27:48.461056Z,2026-04-22T14:27:48.461070Z,Ad Hoc Engagement,,,,2026-04-22,2026-04-22,,False,,,True,True,True,True,Not Started,threat_model,none,False,Interactive,,,,,False,,,,,1,,,,[],[],[]
13,[],2026-04-22T14:37:17.405036Z,2026-04-22T14:37:21.359294Z,"AdHoc Import - Wed, 22 Apr 2026 14:37:17",,,,2026-04-22,2026-04-22,,True,,,False,False,False,False,In Progress,threat_model,none,False,Interactive,,,,,False,,,,,1,,,,[],[],[]
14,[],2026-04-22T14:41:15.246687Z,2026-04-22T14:56:04.400018Z,Audit SCA : Sécurité des Conteneurs Docker (Snyk),,,,2026-04-22,2026-04-22,,True,,,False,False,False,False,In Progress,threat_model,none,False,Interactive,,,,,False,1.0,,,,1,,,,[],[],[]
15,[],2026-04-22T14:58:59.256523Z,2026-04-22T14:59:52.214803Z,Edit Interactive Engagement Name,,,,2026-04-22,2026-04-22,,True,,,False,False,False,False,In Progress,threat_model,none,False,Interactive,,,,,False,1.0,,,,1,,,,[],[],[]
16,[],2026-04-22T15:07:52.253443Z,2026-04-22T15:11:17.172468Z,Audit DAST : Analyse Dynamique OWASP ZAP,,,,2026-04-22,2026-04-22,,True,,,False,False,False,False,In Progress,threat_model,none,False,Interactive,,,,,False,1.0,,,,1,,,,[],[],[]
